你好[你好],ni3 hao3,INTJ. How are you?; Hello.
再见[再見],zai4jian4,F.E. Good-bye.; See you again.
我[我],wo3,PR. I  B.F. 1 we; our 2 self
是[是],shi4,"V. 1 be 2 wr. praise; justify  B.F. matter; affair  PR. this; all  S.V. right; true  ADV. certainly; for sure  CONS. A ∼ A it's A all right, but ..."
好[好],hao3,"S.V. good  ADV. 1 very 2 easy to  PREF. good to  SUF. (indicating completion)  CONJ. so as to; so that  V. , topo. may; can; should"
你[你],ni3,PR. you
中国[中國],Zhong1guo2,P.W. 1 China 2 Middle Kingdom
人[人],ren2,N. person; people  B.F. human
美国[美國],Mei3guo2,P.W. United States
他[他],ta1,PR. 1 he 2 she 3 it 4 they (referring to inanimate things in object position)  B.F. other; another
不[不],bu4,"ADV. 1 not 2 no  CONS. 1 ∼ A ∼ B (where A B are paired synonyms) not A B 2 ∼ A ∼ B (where A B are antonymous stative verbs) neither A nor B 3 ∼ A ∼ B (where A B are antonymous verbs) no B without A 4 ∼ A ér B do B without doing A 5 A ∼ A (the matter/question of) A or not A 6 V1 ∼ V1V2 (variant form of V1V2 ∼ V1V2, where V1V2 is a compound verb) whether or not V1V2  PREF. non-; un-"
吗[嗎],ma5,M.P. (calling for agreement or disagreement)
她[她],ta1,PR. she (neologism for ¹tā)
// HelloChinese/Learning Chinese 1,,
们[們],men5,SUF. plural for pronouns and human nouns
说[說],shuo1,V. 1 speak; talk 2 explain 3 scold 4 act as matchmaker 5 refer to; indicate  B.F. theory; teachings; doctrine
汉语[漢語],Han4yu3,N. 1 Chinese/Sinitic language(s) 2 Mandarin Chinese (for non-Han Chinese and foreigners)
英语[英語],Ying1yu3,N. English (language)
都[都],dou1,ADV. 1 all 2 even 3 already
学[學],xue2,V. 1 study; learn 2 imitate; mimic  B.F. 1 learning; knowledge 2 subject of study; branch of learning 3 school; college  SUF. -ics; -ism; -ization; -logy; study
也[也],ye3,"ADV. 1 also; too; as well; either 2 even 3 more or less; by and large  CONS. 1 (suīrán/jíshǐ) V1 ∼ V2 (even) if V1 nevertheless V2 2 ∼ A ∼ B be both A and B  M.P. , wr. (used in classical language at the end of a sentence or clause)"
写[寫],xie3,V. 1 write; compose 2 describe; depict  B.F. paint; draw
汉字[漢字],Han4zi4,N. Chinese character; sinograph
// HelloChinese/Food,,
苹果[蘋果],ping2guo3,N. apple M: ²zhī / ge / 只 / 个
西瓜[西瓜],xi1gua1,N. watermelon M: ge / ²zhī / ²kuài / 个 / 只 / 块
和[和],he2,B.F. 1 gentle; mild; moderate 2 harmonious; on friendly terms  COV. (together) with  N. 1 sum 2 peace 3 (sport) draw; tie 4 Japan 5 Surname  V. (sport) tie  CONJ. and
吃[吃],chi1,V. 1 eat 2 eat in/at 3 have a meal 4 live on 5 annihilate; wipe out 6 take a piece (in chess) 7 drink 8 absorb; soak up 9 suffer; incur 10 exhaust; be a strain 11 stutter; stammer; speak indistinctly
芒果[芒果],mang2guo3,N. mango M: ge / ²zhī / 个 / 只
菠萝[菠蘿],bo1luo2,N. pineapple M: ²zhī / ge / 只 / 个
面包[麵包],mian4bao1,N. bread M: ge / ²zhī / 个 / 只
鸡蛋[雞蛋],ji1dan4,N. hen's egg M: ge / ²zhī / ⁴méi / 个 / 只 / 枚
饼干[餅乾],bing3gan1,N. biscuit; cracker; cookie M: ²kuài / 块
水果[水果],shui3guo3,N. fruit
喜欢[喜歡],xi3huan5,V. 1 like; love; be fond of 2 be happy/elated/delighted
喝[喝],he1,V. 1 drink 2 shout (a command)
茶[茶],cha2,N. tea
咖啡[咖啡],ka1fei1,"N. , loan coffee"
果汁[果汁],guo3zhi1,N. fruit juice M: bēi / 杯
水[水],shui3,N. 1 water 2 Surname  B.F. 1 liquid 2 river 3 waterways; by water 4 extra charges/income  M. washings (of a garment)
想[想],xiang3,V. 1 think 2 suppose; reckon; consider 3 want to; would like to; feel like (doing sth.) 4 remember with longing; miss
买[買],mai3,V. 1 buy; purchase 2 hire
牛奶[牛奶],niu2nai3,N. cow's milk M: bēi / 杯
啤酒[啤酒],pi2jiu3,"N. , loan beer"
可乐[可樂],ke3le4,"N. , loan cola  S.V. laughable; funny; amusing"
// HelloChinese/Money,,
一[一],yi1,"NUM. 1 one; 1 2 once  B.F. 1 each; per 2 whole; all; throughout 3 single; alone 4 same  ADV. 1 as soon as 2 a little 3 “empty” adverb in four-syllable expressions 4 also; otherwise  CONS. 1 ∼ A jiù B as soon as A (then) B 2 ∼ A èr B a very AB, where AB is a two-syllable s.v. b one or two AB, where AB is a noun 3 ∼ A bàn A/B a little of A and of A or B, where A and B are identical or similar in meaning 4 ∼ V1 ér V2 V2 immediately after V1 5 ∼ N (yě) bù/méi V not V even one N; without omitting a single N 6 V ∼ VM V a VM 7 ∼ V1 bù V2 inalterably V1 8 ∼ N1 ∼ N2 a all or the whole of N1/N2 b each/every N1/N2 9 ∼ V1 ∼ V2 a do V1/V2 in succession (where V1/V2 are similar in meaning) b do V1/V2 alternately (where V1/V2 contrast in meaning) 10 ∼ A ∼ B one A, one B (where A/B are opposite in meaning) ∼ V ²zài V keep on doing V  N. a note of the scale in gōngchěpǔ"
两[兩],liang3,NUM. 1 two; 2 2 both (sides); either (side) 3 a few; some  M. 1 ounce 2 tael
二[二],er4,NUM. 1 two; 2 2 second 3 different 4 binary; di-
三[三],san1,NUM. 1 three; 3 2 more than two; several; many  CONS. A ∼ B sì do AB repeatedly/haphazardly
四[四],si4,NUM. four; 4  CONS. ∼ A ¹bā B used with two similar terms A and B to indicate combination
五[五],wu3,"NUM. five; 5  N. , mus. no. 6 in gōngchěpǔ"
块[塊],kuai4,"M. 1 piece; lump; chunk 2 Ch. “dollar”  B.F. piece  N. , comp. block"
多少[多少],duo1shao3,N. number; amount  ADV. somewhat; to some extent
钱[錢],qian2,N. 1 copper coin 2 cash; money; fund; sum 3 Surname  M. five grams (1/10th of a tael)
六[六],liu4,NUM. six; 6
七[七],qi1,NUM. seven; 7  B.F. each of seven seventh-day memorials after a death  CONS. ∼ A bā B topsy-turvy AB
八[八],ba1,NUM. eight; 8
九[九],jiu3,NUM. nine; 9  B.F. many; numerous
十[十],shi2,NUM. ten; 10  B.F. complete
个[個],ge4,PREF. individual  M. (reading/citation pronunciation for ge)
瓶[瓶],ping2,B.F. bottle; vase; flask  M. (for bottles/etc.)
杯[杯],bei1,M. glass/cupful  B.F. 1 cup; glass 2 (prize) cup; trophy
百[百],bai3,NUM. 1 hundred; 100 2 numerous; all kinds of
// HelloChinese/Family 1,,
的[的],de5,"S.P. 1 (of subordination) 2 (noun-forming, like English -er)  CONS. (shì) A ∼ action emphasizing A  CONS. 1 coll. by 2 topo. plus"
爸爸[爸爸],ba4ba5,N. papa; dad; father
妈妈[媽媽],ma1ma5,"N. , coll. mama; mother"
爷爷[爺爺],ye2ye5,N. 1 (paternal) grandfather 2 court. Grandpa 3 father
奶奶[奶奶],nai3nai5,N. 1 coll. paternal grandmother 2 court. address for married woman M: ge / míng / ²wèi / 个 / 名 / 位
哥哥[哥哥],ge1ge5,N. elder brother M: ge / ²wèi / 个 / 位
姐姐[姐姐],jie3jie5,N. elder sister
弟弟[弟弟],di4di5,N. younger brother
妹妹[妹妹],mei4mei5,N. younger sister
